==> Bogus_trait.results.csv <==
"Gene"	"Non-unique Gene name"	"Annotation"	"Number_pos_present_in"	"Number_neg_present_in"	"Number_pos_not_present_in"	"Number_neg_not_present_in"	"Sensitivity"	"Specificity"	"Odds_ratio"	"Naive_p"	"Bonferroni_p"	"Benjamini_H_p"	"Max_Pairwise_comparisons"	"Max_supporting_pairs"	"Max_opposing_pairs"	"Best_pairwise_comp_p"	"Worst_pairwise_comp_p"
"gene_6942"	""	"A gene with no relevance to tetracycline resistance"	"18"	"32"	"35"	"12"	"33.9622641509434"	"27.27272727272727"	"0.19285714285714287"	"0.00021060616542660472"	"1.0"	"1.0"	"22"	"5"	"20"	"0.00012111663818359382"	"0.016900539398193356"
"gene_6673"	""	"A gene with no relevance to tetracycline resistance"	"17"	"30"	"36"	"14"	"32.075471698113205"	"31.818181818181817"	"0.22037037037037038"	"0.0005143108960102311"	"1.0"	"1.0"	"15"	"6"	"15"	"6.103515625e-05"	"0.6072387695312501"
"gene_6911"	""	"A gene with no relevance to tetracycline resistance"	"37"	"15"	"16"	"29"	"69.81132075471697"	"65.9090909090909"	"4.470833333333333"	"0.00053916149317378"	"1.0"	"1.0"	"24"	"18"	"8"	"0.02265584468841553"	"0.15158963203430173"
"gene_8967"	""	"A gene with no relevance to tetracycline resistance"	"23"	"34"	"30"	"10"	"43.39622641509434"	"22.727272727272727"	"0.22549019607843138"	"0.0009104065280977792"	"1.0"	"1.0"	"19"	"9"	"15"	"0.019210815429687503"	"1.0"
"gene_7559"	""	"A gene with no relevance to tetracycline resistance"	"30"	"10"	"23"	"34"	"56.60377358490566"	"77.27272727272727"	"4.434782608695652"	"0.0009104065280977792"	"1.0"	"1.0"	"16"	"14"	"6"	"0.004180908203124999"	"0.45449829101562506"
"gene_6370"	""	"A gene with no relevance to tetracycline resistance"	"18"	"30"	"35"	"14"	"33.9622641509434"	"31.818181818181817"	"0.24"	"0.0010707763378538038"	"1.0"	"1.0"	"16"	"8"	"14"	"0.004180908203124999"	"1.0"
"gene_4350"	""	"A gene with no relevance to tetracycline resistance"	"8"	"20"	"45"	"24"	"15.09433962264151"	"54.54545454545454"	"0.21333333333333335"	"0.0014760680299882403"	"1.0"	"1.0"	"15"	"5"	"13"	"0.007385253906249998"	"0.30175781250000017"
"gene_7530"	""	"A gene with no relevance to tetracycline resistance"	"29"	"10"	"24"	"34"	"54.71698113207547"	"77.27272727272727"	"4.108333333333333"	"0.0017731376170655763"	"1.0"	"1.0"	"15"	"12"	"7"	"0.035156250000000014"	"0.9999999999999997"
"gene_6897"	""	"A gene with no relevance to tetracycline resistance"	"23"	"33"	"30"	"11"	"43.39622641509434"	"25.0"	"0.25555555555555554"	"0.0020440818682201803"	"1.0"	"1.0"	"6"	"3"	"5"	"0.21875000000000003"	"1.0"
"gene_4212"	""	"A gene with no relevance to tetracycline resistance"	"24"	"7"	"29"	"37"	"45.28301886792453"	"84.0909090909091"	"4.374384236453202"	"0.0022735568331854012"	"1.0"	"1.0"	"8"	"7"	"4"	"0.0703125"	"1.0"
