ENTRY_AC	ENTRY_TYPE	ENTRY_NAME
IPR000126	Active_site	Serine proteases, V8 family, serine active site
IPR000138	Active_site	Hydroxymethylglutaryl-CoA lyase, active site
IPR000169	Active_site	Cysteine peptidase, cysteine active site
IPR000180	Active_site	Membrane dipeptidase, active site
IPR000189	Active_site	Prokaryotic transglycosylase, active site
IPR000590	Active_site	Hydroxymethylglutaryl-coenzyme A synthase, active site
IPR001252	Active_site	Malate dehydrogenase, active site
IPR001345	Active_site	Phosphoglycerate/bisphosphoglycerate mutase, active site
IPR001497	Active_site	Methylated-DNA-[protein]-cysteine S-methyltransferase, active site
IPR001555	Active_site	Phosphoribosylglycinamide formyltransferase, active site
IPR001579	Active_site	Glycosyl hydrolases family 18 (GH18) active site
IPR001586	Active_site	Beta-lactamase, class-C active site
IPR001969	Active_site	Aspartic peptidase, active site
IPR002071	Active_site	Thermonuclease active site
IPR002137	Active_site	Beta-lactamase, class-D active site
IPR002168	Active_site	Lipase, GDXG, putative histidine active site
IPR002471	Active_site	Peptidase S9, serine active site
IPR004164	Active_site	Coenzyme A transferase active site
IPR006650	Active_site	Adenosine/AMP deaminase active site
IPR008255	Active_site	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site
IPR008259	Active_site	FMN-dependent alpha-hydroxy acid dehydrogenase, active site
IPR008261	Active_site	Iodothyronine deiodinase, active site
IPR008263	Active_site	Glycoside hydrolase, family 16, active site
IPR008265	Active_site	Lipase, GDSL, active site
IPR008266	Active_site	Tyrosine-protein kinase, active site
IPR008268	Active_site	Peptidase S16, active site
IPR008270	Active_site	Glycosyl hydrolases family 25, active site
IPR008271	Active_site	Serine/threonine-protein kinase, active site
IPR008272	Active_site	4-hydroxybenzoyl-CoA thioesterase, active site
IPR011767	Active_site	Glutaredoxin active site
IPR012999	Active_site	Pyridine nucleotide-disulphide oxidoreductase, class I, active site
IPR013808	Active_site	Transglutaminase, active site
IPR016129	Active_site	Peptidase family C14A, His active site
IPR016130	Active_site	Protein-tyrosine phosphatase, active site
IPR017440	Active_site	ATP-citrate lyase/succinyl-CoA ligase, active site
IPR017950	Active_site	Urease active site
IPR018040	Active_site	Pectinesterase, Tyr active site
IPR018053	Active_site	Glycoside hydrolase, family 32, active site
IPR018057	Active_site	Deoxyribonuclease I, active site
IPR018085	Active_site	Uracil-DNA glycosylase, active site
IPR018088	Active_site	Chalcone/stilbene synthase, active site
IPR018089	Active_site	Orotidine 5'-phosphate decarboxylase, active site
IPR018114	Active_site	Serine proteases, trypsin family, histidine active site
IPR018117	Active_site	DNA methylase, C-5 cytosine-specific, active site
IPR018120	Active_site	Glycoside hydrolase family 1, active site
IPR018129	Active_site	Phosphoenolpyruvate carboxylase, Lys active site
IPR018148	Active_site	Methylglyoxal synthase, active site
IPR018177	Active_site	L-lactate dehydrogenase, active site
