PF00001	CL0192	GPCR_A	7tm_1	7 transmembrane receptor (rhodopsin family)
PF00002	CL0192	GPCR_A	7tm_2	7 transmembrane receptor (Secretin family)
PF00003	CL0192	GPCR_A	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	CL0023	P-loop_NTPase	AAA	ATPase family associated with various cellular activities (AAA)
PF00005	CL0023	P-loop_NTPase	ABC_tran	ABC transporter
PF00006	CL0023	P-loop_NTPase	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007	CL0079	Cystine-knot	Cys_knot	Cystine-knot domain
PF00008	CL0001	EGF	EGF	EGF-like domain
PF00009	CL0023	P-loop_NTPase	GTP_EFTU	Elongation factor Tu GTP binding domain
PF00010			HLH	Helix-loop-helix DNA-binding domain
PF00011	CL0190	HSP20	HSP20	Hsp20/alpha crystallin family
PF00012	CL0108	Actin_ATPase	HSP70	Hsp70 protein
PF00013	CL0007	KH	KH_1	KH domain
PF00014			Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015			MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016			RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	CL0541	SH2-like	SH2	SH2 domain
PF00018	CL0010	SH3	SH3_1	SH3 domain
PF00019	CL0079	Cystine-knot	TGF_beta	Transforming growth factor beta like domain
PF00020	CL0607	TNF_receptor	TNFR_c6	TNFR/NGFR cysteine-rich region
PF00021	CL0117	uPAR_Ly6_toxin	UPAR_LY6	u-PAR/Ly-6 domain
PF00022	CL0108	Actin_ATPase	Actin	Actin
PF00023	CL0465	Ank	Ank	Ankyrin repeat
PF00024	CL0168	PAN	PAN_1	PAN domain
PF00025	CL0023	P-loop_NTPase	Arf	ADP-ribosylation factor family
PF00026	CL0129	Peptidase_AA	Asp	Eukaryotic aspartyl protease
PF00027	CL0029	Cupin	cNMP_binding	Cyclic nucleotide-binding domain
PF00028	CL0159	E-set	Cadherin	Cadherin domain
PF00029	CL0375	Transporter	Connexin	Connexin
PF00030	CL0333	gCrystallin	Crystall	Beta/Gamma crystallin
PF00031	CL0121	Cystatin	Cystatin	Cystatin domain
